input_kb, dat_size, type, class, kb, mb, gb
2440,32, rss, reads, 10592
2440,32, rss, suf, 82904, 
2440,32, rss, bpg, 82904
2440,32, rss, gm, 82904
2440,32, rss, main, 82904
4860,64, rss, reads, 19680
4860,64, rss, suf, 158200
4860,64, rss, bpg, 158200
4860,64, rss, gm, 158200
4860,64, rss, main, 158200
9716,128, rss, reads, 37608
9716,128, rss, suf, 330584
9716,128, rss, bpg, 330584
9716,128, rss, gm, 330584
9716,128, rss, main, 330584
19424,256, rss, reads, 73708
19424,256, rss, suf, 638580
19424,256, rss, bpg, 638580
19424,256, rss, gm, 638580
19424,256, rss, main, 638580
38836,512, rss, reads, 145828
38836,512, rss, suf, 1258928
38836,512, rss, bpg, 1258928
38836,512, rss, gm, 1258928
38836,512, rss, main, 125892
77660,1024, rss, reads, 290156
77660,1024, rss, suf, 1986828
77660,1024, rss, bpg, 1986828
77660,1024, rss, gm, 1986828
77660,1024, rss, main, 1986828
155308,2048 ,rss, reads, 579128
155308,2048 ,rss, suf, 3955316
155308,2048 ,rss, bpg, 3955316
155308,2048 ,rss, gm, 3955316
155308,2048 ,rss, main, 3955316
310616,4096, rss, reads, 1156968
310616,4096, rss, suf, 7887388
310616,4096, rss, bpg, 7887388
310616,4096, rss, gm, 7887388
310616,4096, rss, main, 7887388
